"Plot6"
"Time (sec)","alpha2","alpha3","alpha4"
0,3.9756933518294e-16,0.0186941701790992,2.08306467709946
0.0398540145985402,3.97697478992807e-16,0.0025695773205327,2.08276651001771
0.0797080291970803,3.98081662922979e-16,0.0362525352459227,2.0829412628572
0.11956204379562,3.98721146859146e-16,0.0640962817538249,2.08373012550756
0.159416058394161,3.9961470517072e-16,0.0923354688125371,2.08512409387541
0.199270072992701,4.00760638366032e-16,0.120571095563768,2.08707609610098
0.239124087591241,4.02156789047851e-16,0.149201154692951,2.08961389275927
0.278978102189781,4.03800561824603e-16,0.178136706019818,2.09281137538401
0.318832116788321,4.05688946757627e-16,0.207358251539587,2.09661538994082
0.358686131386861,4.07818545865216e-16,0.236889462946565,2.10106752641658
0.398540145985402,4.10185602161736e-16,0.266739835961571,2.10617513054702
0.438394160583942,4.12786030685162e-16,0.296924916789291,2.11195843930258
0.478248175182482,4.15615450958813e-16,0.327456720534027,2.1184290163744
0.518102189781022,4.18669220341599e-16,0.358346820548113,2.12560523921737
0.557956204379562,4.21942467744179e-16,0.389613612799015,2.13350106173854
0.597810218978102,4.25430127223628e-16,0.421270900420116,2.14213119783993
0.637664233576643,4.29126971014216e-16,0.453335319034121,2.15151534508713
0.677518248175183,4.33027641603882e-16,0.485820072432453,2.16166677784631
0.717372262773723,4.37126682522427e-16,0.518747807998829,2.17260859377275
0.757226277372263,4.4141856756594e-16,0.552133530211024,2.18435646036199
0.797080291970804,4.45897728240152e-16,0.585996371721322,2.19693064644062
0.836934306569344,4.50558579261732e-16,0.620354531672519,2.21034881209279
0.876788321167884,4.55395542009178e-16,0.65522950693426,2.22463239634738
0.916642335766424,4.60403065863135e-16,0.690641345954099,2.23980331506211
0.956496350364964,4.65575647418736e-16,0.726614832654302,2.25588359985513
0.996350364963505,4.70907847589564e-16,0.763171216390265,2.27289901507469
1.03620437956204,4.76394306654011e-16,0.800332532068751,2.2908657917631
1.07605839416059,4.82029757320164e-16,0.838124106865714,2.30981610460179
1.11591240875913,4.87809035905215e-16,0.876575111145951,2.32977076733427
1.15576642335767,4.93727091740239e-16,0.915711000991228,2.35075847944217
1.19562043795621,4.99778994921389e-16,0.955555177770334,2.37280551721555
1.23547445255475,5.05959942534833e-16,0.996141511192603,2.3959435910707
1.27532846715329,5.1226526348556e-16,1.03749641681718,2.42020165481203
1.31518248175183,5.18690422060084e-16,1.07965442617911,2.44561056852938
1.35503649635037,5.25231020350726e-16,1.1226490674264,2.47220306018677
1.39489051094891,5.31882799664853e-16,1.16651106818165,2.50001431881279
1.43474452554745,5.3864164103682e-16,1.21127559814662,2.52908032791022
1.47459854014599,5.45503564953717e-16,1.25698265620084,2.55943714256427
1.51445255474453,5.52464730398647e-16,1.30366730981098,2.5911248794402
1.55430656934307,5.59521433307559e-16,1.35137487303195,2.62418308636506
1.59416058394161,5.66670104527758e-16,1.40013985838586,2.6586561237043
1.63401459854015,5.73907307358353e-16,1.45001156818412,2.69458663186136
1.67386861313869,5.81229734745212e-16,1.50103123830233,2.73202292329651
1.71372262773723,9.50980679661433e-08,1.55324812116115,2.77101263752016
