Anchor_O_X,Anchor_O_Y,SPEED,Connector_A_X,Connector_A_Y,SPEED,Anchor_Q_X,Anchor_Q_Y,SPEED,Connector_B_X,Connector_B_Y,SPEED
0,0,0,119.9928394,-1.310911873,37.69893959,0,85,0,80.99577233,143.5311703,38.73579992
0,0,0,119.9999877,-0.054300885,37.69893959,0,85,0,80.22940814,144.5773035,38.90421592
0,0,0,119.9939767,1.202316058,37.69893959,0,85,0,79.44608302,145.6179257,39.07484513
0,0,0,119.9748069,2.458801153,37.69893959,0,85,0,78.64570533,146.6527863,39.24776165
0,0,0,119.9424806,3.715016613,37.69893959,0,85,0,77.82818376,147.6816308,39.42304171
0,0,0,119.8970012,4.970824679,37.69893959,0,85,0,76.99342736,148.7042006,39.60076379
0,0,0,119.8383738,6.226087639,37.69893959,0,85,0,76.14134545,149.7202329,39.78100871
0,0,0,119.7666047,7.480667837,37.69893959,0,85,0,75.27184768,150.7294605,39.96385973
0,0,0,119.6817019,8.734427697,37.69893959,0,85,0,74.38484399,151.7316118,40.14940263
0,0,0,119.5836746,9.987229728,37.69893959,0,85,0,73.48024459,152.7264105,40.33772583
0,0,0,119.4725337,11.23893655,37.69893959,0,85,0,72.55795998,153.7135756,40.5289205
0,0,0,119.3482912,12.48941089,37.69893959,0,85,0,71.61790092,154.692821,40.72308067
0,0,0,119.2109609,13.73851563,37.69893959,0,85,0,70.65997842,155.6638555,40.92030335
0,0,0,119.0605577,14.98611378,37.69893959,0,85,0,69.68410378,156.6263828,41.12068865
0,0,0,118.8970982,16.23206854,37.69893959,0,85,0,68.6901885,157.5801008,41.32433992
0,0,0,118.7206002,17.47624327,37.69893959,0,85,0,67.6781444,158.524702,41.5313639
0,0,0,118.5310833,18.71850153,37.69893959,0,85,0,66.64788349,159.4598728,41.74187083
0,0,0,118.328568,19.9587071,37.69893959,0,85,0,65.59931809,160.3852936,41.95597466
0,0,0,118.1130767,21.19672397,37.69893959,0,85,0,64.53236077,161.3006385,42.17379315
0,0,0,117.884633,22.43241638,37.69893959,0,85,0,63.44692437,162.205575,42.39544805
0,0,0,117.6432619,23.66564882,37.69893959,0,85,0,62.34292203,163.0997638,42.62106534
0,0,0,117.3889899,24.89628606,37.69893959,0,85,0,61.22026718,163.9828584,42.85077532
0,0,0,117.1218448,26.12419314,37.69893959,0,85,0,60.07887361,164.854505,43.08471288
0,0,0,116.841856,27.34923541,37.69893959,0,85,0,58.91865544,165.7143424,43.32301767
0,0,0,116.5490542,28.57127853,37.69893959,0,85,0,57.73952718,166.5620011,43.56583432
0,0,0,116.2434715,29.79018848,37.69893959,0,85,0,56.54140375,167.3971037,43.8133127
0,0,0,115.9251414,31.0058316,37.69893959,0,85,0,55.32420054,168.2192638,44.06560811
0,0,0,115.5940988,32.21807459,37.69893959,0,85,0,54.08783345,169.0280864,44.32288156
0,0,0,115.2503799,33.4267845,37.69893959,0,85,0,52.83221894,169.8231671,44.58530005
0,0,0,114.8940226,34.63182879,37.69893959,0,85,0,51.55727409,170.6040917,44.85303684
0,0,0,114.5250659,35.8330753,37.69893959,0,85,0,50.26291667,171.3704361,45.12627171
0,0,0,114.1435502,37.03039232,37.69893959,0,85,0,48.94906524,172.1217656,45.40519136
0,0,0,113.7495173,38.22364853,37.69893959,0,85,0,47.61563921,172.8576345,45.68998967
0,0,0,113.3430106,39.4127131,37.69893959,0,85,0,46.26255895,173.5775856,45.98086806
0,0,0,112.9240745,40.59745561,37.69893959,0,85,0,44.88974592,174.28115,46.2780359
