"Plot5"
"Time (sec)","omega2","omega3","omega4"
0,18,7.8,18
0.0398540145985402,18,7.79977002518803,18.0737926518164
0.0797080291970803,18,7.80067087591367,18.1660180189434
0.11956204379562,18,7.80266990163144,18.2490458874956
0.159416058394161,18,7.80580703776338,18.3321178505757
0.199270072992701,18,7.81004616172998,18.4152552559662
0.239124087591241,18,7.81542124165992,18.4984827255586
0.278978102189781,18,7.82194330590204,18.5818242499598
0.318832116788321,18,7.82962405368481,18.6653048964605
0.358686131386861,18,7.83847552258682,18.7489500239713
0.398540145985402,18,7.84851024075992,18.832785594312
0.438394160583942,18,7.85974123859906,18.9168381567711
0.478248175182482,18,7.87218205737559,19.0011348439123
0.518102189781022,18,7.88584679829637,19.0857034025126
0.557956204379562,18,7.90075011931841,19.1705721933809
0.597810218978102,18,7.91690728055258,19.2557702233131
0.637664233576643,18,7.93433415949877,19.3413271607745
0.677518248175183,18,7.95304727522096,19.4272733491002
0.717372262773723,18,7.97306383540294,19.5136398363378
0.757226277372263,18,7.99440173525702,19.6004583947699
0.797080291970804,18,8.01707960610108,19.687761540405
0.836934306569344,18,8.04111684308148,19.7755825695981
0.876788321167884,18,8.06653363613914,19.8639555747105
0.916642335766424,18,8.0933509882513,19.9529154859921
0.956496350364964,18,8.12159078260803,20.0424980923441
0.996350364963505,18,8.15127577279409,20.1327400720836
1.03620437956204,18,8.18242965180804,20.2236790374134
1.07605839416059,18,8.21507708200897,20.315353569488
1.11591240875913,18,8.2492437257498,20.4078032426076
1.15576642335767,18,8.28495629597722,20.5010686857367
1.19562043795621,18,8.32224258327221,20.5951916080595
1.23547445255475,18,8.36113152542271,20.6902148540511
1.27532846715329,18,8.40165322597839,20.7861824455476
1.31518248175183,18,8.44383902259387,20.8831396327247
1.35503649635037,18,8.48772152358831,20.9811329489731
1.39489051094891,18,8.53333466427317,21.0802102645968
1.43474452554745,18,8.58071376489685,21.1804208448208
1.47459854014599,18,8.62989558823661,21.2818154092201
1.51445255474453,18,8.68091839081239,21.384446202052
1.55430656934307,18,8.73382199700453,21.4883670540356
1.59416058394161,18,8.78864785033208,21.5936334584084
1.63401459854015,18,8.84543910489255,21.7003026412759
1.67386861313869,18,8.90424066698163,21.808433649318
1.71372262773723,18.0000000000642,8.96509930292612,21.9180874221624
1.75357664233577,18.0000000000144,9.02806369504103,22.02932689044
1.79343065693431,17.9999999999591,9.09318453559263,22.1422170644664
1.83328467153285,18.0000000000888,9.16051461168713,22.2568251300663
1.87313868613139,17.999999999844,9.23010890129123,22.3732205550905
1.91299270072993,18.0000000000833,9.30202466579487,22.4914751985927
1.95284671532847,18.0000000000084,9.3763215582944,22.6116634198852
1.99270072992701,17.9999999999586,9.45306172378693,22.733862207897
2.03255474452555,18.0000000000861,9.53230992071232,22.8581513018957
